generation,average_fitness,median_fitness,best_fitness,worst_fitness
330,6931.2,6895.0,7540,6480
331,7010.4,7005.0,7540,6200
332,7014.8,6990.0,7710,6450
333,7047.2,7040.0,7610,6430
334,7034.8,7005.0,7650,6610
335,7003.2,6945.0,7530,6580
336,6981.0,6935.0,7690,6250
337,7076.8,7070.0,7750,6630
338,6972.4,6980.0,7490,6550
339,7038.4,7065.0,7490,6520
340,7050.0,7020.0,7700,6520
341,6989.4,6960.0,7480,6440
342,7024.0,7025.0,7590,6480
343,7031.8,6975.0,7640,6500
344,7076.2,7080.0,7630,6640
345,7026.6,6985.0,7530,6530
346,7043.6,7005.0,7600,6490
347,7017.4,7020.0,7530,6450
348,6960.2,6985.0,7610,6520
349,7033.8,7010.0,7640,6290
350,6975.4,6965.0,7620,6320
351,6975.2,6930.0,7650,6550
352,6916.2,6890.0,7580,6470
353,7025.6,7015.0,7550,6500
354,7085.8,7075.0,7640,6470
355,7005.4,6940.0,7510,6490
356,6985.2,7015.0,7520,6490
357,7050.8,7050.0,7600,6570
358,7009.0,6980.0,7770,6460
359,6961.0,6940.0,7510,6470
360,6973.8,6915.0,7570,6570
361,7083.6,7095.0,7560,6570
362,7012.8,6970.0,7630,6390
363,6971.8,6975.0,7460,6370
364,7005.6,7000.0,7560,6340
365,6994.6,6955.0,7570,6500
366,7052.2,7015.0,7610,6400
367,7002.8,6965.0,7500,6510
368,7048.4,7085.0,7660,6450
369,7038.2,7020.0,7520,6530
370,7033.2,7065.0,7520,6480
371,7054.2,7020.0,7560,6540
372,7023.2,7000.0,7580,6350
373,7074.4,7050.0,7620,6530
374,7005.8,6955.0,7720,6530
375,7015.6,6980.0,7620,6500
376,6944.6,6935.0,7490,6370
377,7017.4,6995.0,7540,6580
378,7011.6,6960.0,7720,6540
379,7009.0,7010.0,7720,6490
380,6949.0,6920.0,7580,6380
381,6954.6,6925.0,7680,6280
382,7081.8,7060.0,7760,6420
383,7025.2,7005.0,7570,6520
384,7056.4,7030.0,7580,6600
385,7030.6,7035.0,7610,6520
386,7009.0,6975.0,7470,6530
387,6961.6,6970.0,7590,6440
388,6937.8,6935.0,7520,6430
389,7047.2,7055.0,7610,6460
390,7094.2,7140.0,7690,6500
391,7020.6,7030.0,7560,6270
392,6944.6,6945.0,7600,6410
393,7016.2,7015.0,7620,6640
394,6975.8,6965.0,7550,6460
395,6980.8,6950.0,7550,6460
396,7057.0,7055.0,7670,6480
397,6990.6,6960.0,7630,6560
398,6987.6,6970.0,7710,6410
399,6995.6,6985.0,7570,6550
400,6936.4,6840.0,7460,6580
401,7030.8,7005.0,7640,6600
402,6995.4,6980.0,7470,6590
403,6967.8,6930.0,7590,6480
404,7025.2,7045.0,7660,6520
405,7004.8,7015.0,7570,6290
406,6977.8,6940.0,7590,6370
407,7028.6,7000.0,7580,6600
408,7043.6,7015.0,7690,6620
409,7078.6,7095.0,7500,6600
410,7027.0,7005.0,7610,6580
411,7029.2,7020.0,7590,6520
412,7020.6,7005.0,7560,6360
413,6979.8,6955.0,7640,6460
414,7010.6,6925.0,7680,6440
415,7053.6,7050.0,7620,6340
416,6998.4,6985.0,7560,6560
417,7049.8,7035.0,7550,6380
418,6970.6,6975.0,7490,6600
419,6981.4,6995.0,7720,6440
420,6933.2,6960.0,7350,6320
421,6950.6,6900.0,7660,6420
422,6984.8,6920.0,7740,6510
423,7042.6,6970.0,7660,6580
424,7034.6,7015.0,7580,6560
425,6993.6,6980.0,7750,6350
426,7027.8,6990.0,7680,6400
427,6971.2,6965.0,7560,6380
428,7073.4,7015.0,7670,6550
429,7016.2,6970.0,7620,6560
430,6944.8,6890.0,7740,6520
431,7080.2,7020.0,7640,6620
432,7012.4,6990.0,7630,6370
433,7003.4,6980.0,7510,6540
434,6989.8,6975.0,7540,6480
435,7020.8,7055.0,7640,6400
436,7064.0,7070.0,7750,6450
437,7011.8,6955.0,7640,6510
438,6984.6,6975.0,7690,6380
439,7068.8,7015.0,7600,6510
440,6962.2,6910.0,7630,6340
441,7028.6,7035.0,7710,6510
442,6967.8,6910.0,7400,6500
443,7073.0,6995.0,7750,6410
444,7027.8,7020.0,7590,6570
445,6972.0,6925.0,7610,6540
446,7010.4,7025.0,7530,6440
447,6981.6,6960.0,7650,6450
448,7007.6,7000.0,7600,6440
449,6995.0,6975.0,7590,6470
450,6985.6,6990.0,7620,6470
451,7037.4,7015.0,7640,6380
452,7013.2,6940.0,7700,6590
453,7006.8,6980.0,7540,6610
454,7029.4,7025.0,7610,6470
455,6937.8,6905.0,7680,6410
456,7096.4,7090.0,7650,6590
457,6981.0,7000.0,7690,6440
458,6978.2,6955.0,7520,6280
459,7017.4,7060.0,7570,6540
460,6965.0,6950.0,7540,6420
461,7003.6,6970.0,7600,6570
462,6992.0,6940.0,7550,6510
463,7001.6,6930.0,7590,6480
464,7031.0,7005.0,7700,6480
465,7088.6,7130.0,7560,6530
466,6962.2,6920.0,7540,6520
467,6997.8,6985.0,7630,6480
468,7015.6,6990.0,7690,6600
469,6935.0,6905.0,7490,6390
470,6964.8,6900.0,7550,6580
471,7023.6,7015.0,7490,6560
472,7021.4,7015.0,7520,6420
473,6986.4,6995.0,7580,6490
474,6982.2,6960.0,7580,6420
475,7069.8,7050.0,7600,6660
476,6987.2,6965.0,7600,6580
477,7065.0,7065.0,7640,6550
478,7008.8,7005.0,7560,6530
479,7042.8,7020.0,7690,6450
480,7028.6,7000.0,7660,6540
481,6993.6,6995.0,7590,6480
482,7004.2,6995.0,7560,6440
483,7025.0,7015.0,7650,6570
484,7032.2,7030.0,7640,6510
485,6999.0,6940.0,7510,6500
486,6975.6,6965.0,7550,6430
487,7040.4,7005.0,7580,6480
488,6961.2,6960.0,7650,6370
489,7012.2,7020.0,7700,6520
490,7057.8,7035.0,7600,6580
491,7054.0,7050.0,7590,6560
492,7040.0,6985.0,7630,6510
493,7037.0,7015.0,7640,6460
494,6909.8,6870.0,7410,6570
495,6951.2,6895.0,7600,6430
496,7108.6,7095.0,7590,6650
497,6939.4,6915.0,7610,6470
498,6885.2,6805.0,7370,6430
499,6959.6,6930.0,7490,6490
500,6947.4,6920.0,7560,6260
